from,to,year,type,pps
FCKa,KBa,2012,1,"0,6"
FFo,FCKa,2012,2,"2,2"
FCK,FS,2012,1,"0,25"
HSt,FCK,2012,2,"0,4"
BSC,OR,2012,1,"0,8"
JLu,BSC,2012,2,"1,4"
FCA,JLu,2012,1,"1,6"
MW,FCA,2012,2,"0,2"
VfLW,FMa,2012,1,"0,2"
LGK,VfLW,2012,2,2
TSGH,MBab,2012,1,"0,2"
FKr,TSGH,2012,2,0
S04,HS,2012,1,"0,4"
JK,S04,2012,2,1
TSGH,FKr,2012,1,0
MKu,TSGH,2012,2,"0,8"
FCN,DH,2012,1,"1,6"
MWi,FCN,2012,2,"1,2"
VfLW,LGK,2012,1,1
DH,VfLW,2012,2,"1,4"
SGF,MBü,2013,1,"0,6"
LP,SGF,2013,2,"0,67"
SGF,LP ,2013,1,"0,67"
FKr,SGF,2013,2,"0,8"
TSGH,MKu,2013,1,"0,8"
MG,TSGH,2013,2,"1,6"
SVW,TS,2013,1,"0,6"
WR,SVW,2013,2,0
